x,y,z,x,y,z
0.043533783,0.45289525,0.09799448,0.043533783,0.45289525,0.09799448
0.045410596,0.45503008,0.0974851,0.045410596,0.45503008,0.0974851
0.040286534,0.4571676,0.10054934,0.040286534,0.4571676,0.10054934
0.039496634,0.45435238,0.1002449,0.039496634,0.45435238,0.1002449
0.056272157,0.44316384,0.08298726,0.056272157,0.44316384,0.08298726
0.051640622,0.445675,0.08758209,0.051640622,0.445675,0.08758209
0.051978216,0.44180408,0.086766176,0.051978216,0.44180408,0.086766176
0.05787719,0.43662083,0.08339549,0.05787719,0.43662083,0.08339549
0.044808146,0.43543836,0.095398515,0.044808146,0.43543836,0.095398515
0.04896148,0.43617368,0.09182899,0.04896148,0.43617368,0.09182899
0.04527537,0.4430988,0.093543634,0.04527537,0.4430988,0.093543634
0.04230524,0.442627,0.09623198,0.04230524,0.442627,0.09623198
0.038676567,0.44250476,0.09843831,0.038676567,0.44250476,0.09843831
0.034544457,0.44292083,0.09987822,0.034544457,0.44292083,0.09987822
0.034891274,0.43738362,0.100030415,0.034891274,0.43738362,0.100030415
0.039879046,0.43608564,0.09826105,0.039879046,0.43608564,0.09826105
0.033680487,0.4584808,0.10197862,0.033680487,0.4584808,0.10197862
0.026319472,0.45793527,0.10196422,0.026319472,0.45793527,0.10196422
0.027775727,0.45477885,0.1013252,0.027775727,0.45477885,0.1013252
0.03395582,0.45526215,0.101729915,0.03395582,0.45526215,0.101729915
0.01758137,0.44769052,0.097664654,0.01758137,0.44769052,0.097664654
0.018735744,0.4502973,0.09825663,0.018735744,0.4502973,0.09825663
0.015286743,0.45190236,0.09937327,0.015286743,0.45190236,0.09937327
0.014450737,0.44744247,0.09918808,0.014450737,0.44744247,0.09918808
0.016817922,0.44435856,0.09967095,0.016817922,0.44435856,0.09967095
0.018885117,0.44603464,0.0982743,0.018885117,0.44603464,0.0982743
0.036276903,0.5154438,0.08444184,0.036276903,0.5154438,0.08444184
0.031384476,0.50020313,0.097338,0.031384476,0.50020313,0.097338
0.05091736,0.50673753,0.07464051,0.05091736,0.50673753,0.07464051
0.061129734,0.4938553,0.065755025,0.061129734,0.4938553,0.065755025
0.06748919,0.4786987,0.05796952,0.06748919,0.4786987,0.05796952
0.052170556,0.3815205,0.09128518,0.052170556,0.3815205,0.09128518
0.053093813,0.3716219,0.08634673,0.053093813,0.3716219,0.08634673
0.06029738,0.37679273,0.07330483,0.06029738,0.37679273,0.07330483
0.058321245,0.36606503,0.0696412,0.058321245,0.36606503,0.0696412
0.05108361,0.36095577,0.08415601,0.05108361,0.36095577,0.08415601
0.0374226,0.34260133,0.08420497,0.0374226,0.34260133,0.08420497
0.046012335,0.3505817,0.08347405,0.046012335,0.3505817,0.08347405
0.0533834,0.35548615,0.06566804,0.0533834,0.35548615,0.06566804
0.060388457,0.36531535,0.04810062,0.060388457,0.36531535,0.04810062
0.063707955,0.37379596,0.0547112,0.063707955,0.37379596,0.0547112
0.06360808,0.37886843,0.033692766,0.06360808,0.37886843,0.033692766
0.055475302,0.35657644,0.03830497,0.055475302,0.35657644,0.03830497
0.060721282,0.3765889,0.0253994,0.060721282,0.3765889,0.0253994
0.040909007,0.32252473,0.045551203,0.040909007,0.32252473,0.045551203
0.04338393,0.3105922,0.042211253,0.04338393,0.3105922,0.042211253
0.053771958,0.31590122,0.02839001,0.053771958,0.31590122,0.02839001
0.052528903,0.32751226,0.03196792,0.052528903,0.32751226,0.03196792
0.065130666,0.38331053,0.06123433,0.065130666,0.38331053,0.06123433
0.06799511,0.44735944,0.059155826,0.06799511,0.44735944,0.059155826
0.06409384,0.4488519,0.07034274,0.06409384,0.4488519,0.07034274
0.070281215,0.43369764,0.057875566,0.070281215,0.43369764,0.057875566
0.070835836,0.5037683,0.031076396,0.070835836,0.5037683,0.031076396
0.0661655,0.5008063,0.04947267,0.0661655,0.5008063,0.04947267
0.072762,0.4839753,0.044794638,0.072762,0.4839753,0.044794638
0.07646238,0.48797658,0.028712714,0.07646238,0.48797658,0.028712714
0.04369133,0.5392953,0.035308965,0.04369133,0.5392953,0.035308965
0.041605536,0.52987874,0.06259081,0.041605536,0.52987874,0.06259081
0.054708708,0.51760936,0.056263644,0.054708708,0.51760936,0.056263644
0.05831342,0.52467734,0.033829864,0.05831342,0.52467734,0.033829864
0.07839646,0.48786306,0.013937639,0.07839646,0.48786306,0.013937639
0.07896138,0.4856855,-0.004004734,0.07896138,0.4856855,-0.004004734
